"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения окна добавления водительских прав при необходимости","1352","Проверка отображения окна добавления прав","tests","2026-01-18","passed","2026-01-18","TestAddDriverLicenseWindow","test_drive_order","",""
"Проверка появления окна поиска машины после выбора тарифа Рабочий и нажатия кнопки Ввести номер и заказать","581","Проверка открытия окна поиска машины после отправки заказа","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderFullScenario","test_taxi_order_full_scenario","",""
"Проверка открытия формы заказа такси после нажатия кнопки Вызвать такси","523","Проверка открытия формы заказа такси после нажатия Вызвать такси","tests","2026-01-18","passed","2026-01-18","TestTaxiFareOrder","test_taxi_fare_order","",""
"Проверка смены активного таба при переключении на маршрут Свой","733","Проверка переключения на маршрут Свой","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Проверка соответствия текста всех всплывающих подсказок тарифов спецификации","2057","Проверка соответствия всех описаний тарифов спецификации","tests","2026-01-18","passed","2026-01-18","TestFareDescriptionTooltips","test_taxi_fare_order","",""
"Проверка наличия 6 тарифов в форме согласно спецификации","36","Проверка наличия 6 тарифов в форме заказа такси","tests","2026-01-18","passed","2026-01-18","TestTaxiFareOrder","test_taxi_fare_order","",""
"Проверка отображения всего ожидаемого текста при одинаковых адресах: Авто, Бесплатно, В пути 0 мин.","744","Сценарий Б: Проверка полного содержимого блока при одинаковых адресах","tests","2026-01-18","passed","2026-01-18","TestRouteOptionsBlock","test_route_options_block","",""
"Проверка отрисовки маршрута на карте после ввода двух разных предустановленных адресов","676","Проверка отрисовки маршрута на карте","tests","2026-01-18","passed","2026-01-18","TestRouteRendering","test_route_rendering","",""
"Проверка наличия всех обязательных полей в форме заказа: телефон, способ оплаты, комментарий, требования к заказу","6232","Проверка наличия всех обязательных полей формы","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderFormFields","test_taxi_fare_order","",""
"Проверка соответствия текста всех всплывающих подсказок тарифов спецификации","2072","Проверка соответствия всех описаний тарифов спецификации","tests","2026-01-18","skipped","2026-01-18","TestFareDescriptionTooltips","test_taxi_fare_order","",""
"Проверка отображения блока информации о водителе в окне совершенного заказа","584","Проверка отображения информации о водителе","tests","2026-01-18","passed","2026-01-18","TestCompletedTaxiOrder","test_taxi_order_full_scenario","",""
"Проверка соответствия текста всех всплывающих подсказок тарифов спецификации","2059","Проверка соответствия всех описаний тарифов спецификации","tests","2026-01-18","passed","2026-01-18","TestFareDescriptionTooltips","test_taxi_fare_order","",""
"Проверка выбора ровно одного тарифа по умолчанию","5","Проверка наличия ровно одного активного тарифа по умолчанию","tests","2026-01-18","passed","2026-01-18","TestTaxiFareOrder","test_taxi_fare_order","",""
"Проверка корректного описания тарифа Повседневный в секции превью","1314","Проверка описания тарифа Повседневный","tests","2026-01-18","passed","2026-01-18","TestDriveFareDescriptions","test_drive_order","",""
"Проверка активности кнопки Забронировать при выборе маршрута Свой и типа передвижения Драйв","750","Проверка активности кнопки Забронировать при Свой + Драйв","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Проверка отображения всех тарифов согласно спецификации: Рабочий, Сонный, Отпускной, Разговорчивый, Утешительный, Глянцевый","586","Проверка наличия всех 6 указанных тарифов","tests","2026-01-18","passed","2026-01-18","TestTaxiFareOrder","test_taxi_fare_order","",""
"Проверка отображения всех тарифов Драйв: Повседневный, Походный, Роскошный","1331","Проверка наличия всех тарифов Драйв","tests","2026-01-18","passed","2026-01-18","TestDriveOrder","test_drive_order","",""
"Проверка отображения маркера конечной точки на карте после построения маршрута","702","Проверка отображения маркера конца маршрута на карте","tests","2026-01-18","passed","2026-01-18","TestRouteRendering","test_route_rendering","",""
"Проверка соответствия текста всех всплывающих подсказок тарифов спецификации","2054","Проверка соответствия всех описаний тарифов спецификации","tests","2026-01-18","passed","2026-01-18","TestFareDescriptionTooltips","test_taxi_fare_order","",""
"Проверка активности кнопки Вызвать такси при выборе вида маршрута Быстрый","733","Проверка активности кнопки Вызвать такси при маршруте Быстрый","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Проверка наличия всех обязательных полей: Имя, Фамилия, Дата рождения, Номер","1411","Проверка наличия всех полей формы прав","tests","2026-01-18","passed","2026-01-18","TestAddDriverLicenseWindow","test_drive_order","",""
"Проверка соответствия стоимости в деталях заказа стоимости, отображавшейся при выборе тарифа","55","Проверка соответствия стоимости в деталях выбранному тарифу","tests","2026-01-18","passed","2026-01-18","TestOrderDetails","test_taxi_order_full_scenario","",""
"Проверка смены активного таба при переключении на маршрут Оптимальный","731","Проверка переключения на маршрут Оптимальный","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Проверка отображения типа маршрута 'Авто' при одинаковых адресах","737","Сценарий Б: Проверка отображения типа маршрута Авто при одинаковых адресах","tests","2026-01-18","passed","2026-01-18","TestRouteOptionsBlock","test_route_options_block","",""
"Проверка соответствия текста всех всплывающих подсказок тарифов спецификации","2046","Проверка соответствия всех описаний тарифов спецификации","tests","2026-01-18","skipped","2026-01-18","TestFareDescriptionTooltips","test_taxi_fare_order","",""
"Проверка отображения заголовка 'Машина забронирована' в окне совершенного заказа Драйв","1750","Проверка заголовка окна совершенного заказа Драйв","tests","2026-01-18","passed","2026-01-18","TestCompletedDriveOrder","test_drive_order","",""
"Проверка пересчета времени и стоимости при переключении между видами маршрута Оптимальный и Быстрый","886","Проверка пересчета времени и стоимости при переключении вида маршрута","tests","2026-01-18","passed","2026-01-18","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"Проверка отображения времени в пути '0 мин.' при одинаковых адресах","718","Сценарий Б: Проверка отображения нулевого времени в пути при одинаковых адресах","tests","2026-01-18","passed","2026-01-18","TestRouteOptionsBlock","test_route_options_block","",""
"Проверка закрытия окна заказа Драйв при нажатии кнопки Отменить","1212","Проверка закрытия окна заказа Драйв при отмене","tests","2026-01-18","skipped","2026-01-18","TestCompletedDriveOrder","test_drive_order","",""
"Проверка закрытия окна заказа при нажатии кнопки Отмена","38","Проверка закрытия окна при отмене заказа","tests","2026-01-18","skipped","2026-01-18","TestOrderCancellation","test_taxi_order_full_scenario","",""
"Проверка отображения блока выбора маршрута при вводе одного и того же предустановленного адреса в оба поля Откуда и Куда","693","Сценарий Б: Проверка отображения блока выбора маршрута при одинаковых адресах","tests","2026-01-18","passed","2026-01-18","TestRouteOptionsBlock","test_route_options_block","",""
"Проверка отображения картинки тарифа в окне совершенного заказа","31111","Проверка отображения картинки тарифа","tests","2026-01-18","passed","2026-01-18","TestCompletedTaxiOrder","test_taxi_order_full_scenario","",""
"Проверка отображения номера машины в окне совершенного заказа","19745","Проверка отображения номера машины","tests","2026-01-18","passed","2026-01-18","TestCompletedTaxiOrder","test_taxi_order_full_scenario","",""
"Проверка отображения таймера бесплатного ожидания в окне совершенного заказа Драйв","1717","Проверка отображения таймера бесплатного ожидания","tests","2026-01-18","passed","2026-01-18","TestCompletedDriveOrder","test_drive_order","",""
"Проверка отображения маркера начальной точки на карте после построения маршрута","689","Проверка отображения маркера начала маршрута на карте","tests","2026-01-18","passed","2026-01-18","TestRouteRendering","test_route_rendering","",""
